	record	length
0	VR-12-1_pFC9_t7_primer_1_	1000
1	VR-12-2_pFC9_t7_primer_1_	1000
2	VR-12-3_pFC9_t7_primer_1_	1000
3	VR-15-1_pFC9_t7_primer_1_	923
4	VR-15-2_pFC9_t7_primer_1_	1000
5	VR-15-3_pFC9_t7_primer_1_	1000
6	VR-16-1_pFC9_t7_primer_1_	1000
7	VR-17-C1_pFC9_t7_primer_1_	1000
8	VR-17-C2_pFC9_t7_primer_1_	1000
9	VR-17-C3_pFC9_t7_primer_1_	1000
10	VR-20-C1_pFC9_t7_primer_1_	1000
11	VR-21-1_pFC9_t7_primer_1_	999
12	VR-23-1_pFC9_t7_primer_1_	1000
13	VR-23-2_pFC9_t7_primer_1_	1000
14	VR-23-4_pFC9_t7_primer_1_	1000
15	VR-25-1_pFC9_t7_primer_1_	1000
16	VR-25-2_pFC9_t7_primer_1_	357
17	VR-27-C1_pFC9_t7_primer_1_	1000
18	VR-27-C3_pFC9_t7_primer_1_	1000
19	VR-27-C4_pFC9_t7_primer_1_	1000
