	record	length
0	VR-10_Variable_region_insert_primer_1_	1000
1	VR-12_Variable_region_insert_primer_1_	1000
2	VR-13_Variable_region_insert_primer_1_	749
3	VR-16_Variable_region_insert_primer_1_	1000
4	VR-17_Variable_region_insert_primer_1_	1000
5	VR-18_Variable_region_insert_primer_1_	534
6	VR-28_Variable_region_insert_primer_1_	1000
7	VR-29_Variable_region_insert_primer_1_	727
8	VR-3_Variable_region_insert_primer_1_	541
9	VR-4_Variable_region_insert_primer_1_	1000
10	VR-5_Variable_region_insert_primer_1_	616
11	VR-7_Variable_region_insert_primer_1_	920
